tr_id,p_id,c_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,tr_date,product_first_sold_date
96,1,1778,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-02-21,2011-04-16
97,80,211,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2017-05-31,2004-12-18
98,49,333,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2017-06-23,2003-07-21
99,95,32,FALSE,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2017-03-26,2003-09-10
100,0,119,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,2017-07-31,1998-12-17
101,18,2347,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2017-07-27,2015-08-10
102,4,2353,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2017-04-14,2011-04-16
103,33,788,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-11-12,1992-10-11
104,78,1468,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-09-12,2004-07-25
105,89,821,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2017-10-26,2013-06-09
106,70,2489,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2017-02-15,2015-04-11
107,79,2710,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2017-12-22,2003-09-09
108,26,947,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2017-10-11,1993-05-26
109,39,1335,TRUE,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2017-03-27,2006-10-01
110,36,1076,FALSE,Approved,Solex,Standard,low,medium,945.04,507.58,2017-11-04,1995-12-19
111,0,3320,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2017-06-11,2015-06-17
112,84,779,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2017-10-09,1992-10-02
113,98,3296,TRUE,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,2017-06-07,1991-05-06
114,75,455,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2017-10-24,2003-09-09
115,76,1779,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2017-05-01,2005-05-10
116,72,2703,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2017-11-21,2011-01-10
117,42,806,FALSE,Approved,OHM Cycles,Road,medium,small,1810,1610.9,2017-03-24,1993-04-12
118,20,22,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2017-03-21,2010-05-05
119,64,1591,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2017-02-20,2005-10-22
120,0,678,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2017-06-16,2015-04-11
121,25,50,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-12-04,1992-10-11
122,24,1038,TRUE,Approved,Solex,Road,medium,large,1777.8,820.78,2017-12-01,1993-05-26
123,31,1453,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2017-03-05,2015-08-02
124,98,1339,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2017-03-21,1997-02-09
125,22,3382,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,2017-01-03,2013-03-12
126,53,773,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2017-04-01,2003-07-21
127,84,2503,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2017-03-16,2005-05-10
128,25,1057,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-02-26,2016-02-04
129,50,1397,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2017-06-05,2015-10-18
130,44,2134,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2017-09-04,2011-05-09
131,96,2403,TRUE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2017-01-18,2002-10-10
132,12,1937,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-09-28,2004-08-17
133,93,1282,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2017-09-02,2002-10-10
134,78,2183,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-05-09,1991-07-10
135,84,1788,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2017-10-17,2006-05-22
136,65,1170,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2017-04-25,2015-04-11
137,0,431,FALSE,Approved,Nio Cycles,Standard,"","",1942.61,556.0469512,2017-09-23,2004-08-17
138,29,1940,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2017-08-02,2000-11-03
139,32,2073,FALSE,Cancelled,Giant Bicycles,Standard,high,medium,1179,707.4,2017-03-25,2000-11-03
140,11,462,FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2017-01-01,2016-07-09
141,10,2728,FALSE,Approved,Solex,Standard,medium,medium,1945.43,333.18,2017-12-22,2002-08-31
142,46,2053,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,2017-12-25,2012-06-04
143,60,2135,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2017-01-26,2012-05-18
144,92,1217,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,2017-12-20,1991-01-21
145,7,2992,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,2017-06-07,2005-12-07
146,41,3261,TRUE,Approved,Solex,Road,medium,medium,416.98,312.74,2017-04-06,1997-05-10
147,67,2748,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-04-25,2005-10-22
148,14,3262,FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2017-01-13,2003-08-05
149,89,788,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2017-03-21,1993-04-20
150,9,3067,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2017-11-21,1994-09-09
151,31,701,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2017-11-11,2003-03-18
152,92,648,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2017-10-16,2000-11-03
153,37,3286,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-08-19,1999-07-20
154,3,3383,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-04-06,2011-08-29
155,56,982,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2017-11-04,2016-02-04
156,14,676,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,2017-08-22,2003-09-09
157,6,385,TRUE,Approved,Solex,Standard,high,medium,748.17,448.9,2017-09-15,2015-04-11
158,50,1229,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2017-03-01,2009-04-12
159,10,3232,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2017-08-16,2013-03-12
160,0,3300,FALSE,Approved,Nio Cycles,Standard,"","",1656.86,556.0469512,2017-08-27,2004-08-17
161,69,2381,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2017-07-10,2015-04-11
162,78,371,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-12-11,2004-07-25
163,80,2519,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2017-05-20,2015-08-10
164,17,2264,FALSE,Approved,Solex,Standard,high,medium,1024.66,614.8,2017-07-30,1996-11-09
165,3,2637,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-10-25,2005-08-09
166,78,3262,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-11-27,2004-07-25
167,90,3177,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2017-04-26,2005-05-10
168,87,2267,FALSE,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,2017-02-02,1997-08-25
169,97,456,FALSE,Approved,Solex,Standard,medium,large,202.62,151.96,2017-05-02,2004-01-16
170,6,404,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,2017-10-16,2003-08-05
171,100,3121,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,2017-10-22,1991-05-06
172,55,2365,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2017-04-11,1991-01-21
173,100,2528,FALSE,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,2017-11-16,1991-05-06
174,10,3151,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2017-12-17,1994-09-09
175,25,3241,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-12-23,2016-11-22
176,74,1335,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2017-03-30,2003-09-09
177,90,2234,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2017-04-13,2005-05-10
178,56,3226,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,2017-07-25,1997-10-04
179,62,1365,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,2017-01-31,1993-06-23
180,20,3349,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2017-03-18,2010-05-05
181,17,1002,FALSE,Approved,Solex,Standard,high,medium,1024.66,614.8,2017-02-24,2011-05-07
182,16,2282,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,2017-02-18,2013-03-12
183,46,2656,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,2017-01-07,2012-06-04
184,71,2409,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,2017-07-05,1995-10-24
185,91,1711,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2017-11-19,2004-07-25
186,17,2582,TRUE,Approved,Solex,Standard,high,medium,1024.66,614.8,2017-11-08,1996-11-09
187,1,1005,TRUE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2017-07-24,2003-09-09
188,3,1597,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-01-15,2012-09-15
189,56,2713,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,2017-01-12,1993-06-23
190,37,1435,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-11-27,2011-05-09
191,34,1477,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2017-06-30,2008-03-19
192,0,1614,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2017-07-15,2006-11-10
193,12,1254,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-06-22,2009-03-08
194,25,1423,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-05-02,2011-01-10
195,81,276,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,2017-12-27,1991-07-10
196,19,1315,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,2017-12-21,1999-06-23
197,45,591,TRUE,Approved,Solex,Standard,medium,medium,441.49,84.99,2017-05-23,1993-04-12
198,74,1017,FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,2017-02-02,2014-07-28
199,33,2123,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-06-08,1992-10-11
200,57,2889,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,2017-04-15,1993-06-23
201,0,3208,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2017-09-05,2012-06-04
202,23,2406,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2017-02-26,2006-11-10
203,67,2041,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-07-29,2005-10-22
204,81,1598,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,2017-07-03,1991-07-10
205,58,1842,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2017-05-27,2015-10-18
206,5,141,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2017-05-05,2005-08-09
207,94,1321,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2017-09-09,2013-06-09
208,51,183,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2017-05-21,2012-04-10
209,59,2591,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2017-09-22,2003-01-05
210,63,3356,TRUE,Approved,Solex,Standard,medium,medium,1483.2,99.59,2017-04-12,1992-10-02
211,40,766,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2017-05-07,2006-02-02
212,80,1596,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2017-01-13,2005-10-22
213,82,520,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2017-12-14,2015-08-10
214,46,868,TRUE,Approved,Solex,Standard,low,medium,1289.85,74.51,2017-03-22,2012-04-10
215,78,2999,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-09-30,2015-08-10
216,72,352,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2017-11-29,2016-12-06
217,75,1140,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2017-06-09,2004-07-25
218,40,621,FALSE,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2017-04-21,2003-07-21
219,2,3307,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2017-11-13,2010-11-05
220,10,1502,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2017-04-09,2013-03-12
221,35,936,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-05-08,2016-11-14
222,8,939,TRUE,Approved,Solex,Road,medium,small,1703.52,1516.13,2017-07-08,2011-04-16
223,2,2698,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2017-11-30,2010-11-05
224,69,579,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2017-04-25,1992-10-02
225,54,2036,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-03-30,2009-04-12
226,8,3077,FALSE,Approved,Solex,Road,medium,small,1703.52,1516.13,2017-03-10,1993-04-20
227,86,369,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-03-16,2005-05-10
228,13,821,TRUE,Approved,Solex,Standard,medium,medium,1163.89,589.27,2017-04-04,2013-03-12
229,19,2687,TRUE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2017-03-13,2011-08-29
230,86,681,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-12-23,2013-06-09
231,46,37,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-08-12,1999-07-20
232,30,3002,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,2017-08-04,1999-07-20
233,92,396,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,2017-09-01,1991-01-21
234,71,550,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,2017-09-01,1995-10-24
235,77,1605,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2017-07-02,2011-01-10
236,7,2325,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-08-31,2003-03-18
237,23,1420,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2017-03-11,1993-10-02
238,12,3099,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-10-08,1994-09-09
239,61,1645,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2017-10-01,2015-05-21
240,21,546,FALSE,Approved,Solex,Standard,medium,large,1071.23,380.74,2017-11-23,1991-11-10
241,86,2885,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-03-27,2003-01-05
242,57,2740,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,2017-12-04,1998-12-17
243,63,3166,TRUE,Approved,Solex,Standard,medium,medium,1483.2,99.59,2017-11-13,1998-12-17
244,63,3487,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2017-12-20,1993-05-26
245,33,2890,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-09-22,2010-06-07
246,98,3370,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2017-01-22,2015-06-17
247,15,3393,TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2017-01-29,2009-03-08
248,57,2410,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,2017-07-21,1993-06-23
249,61,3466,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2017-02-10,2015-06-17
250,48,1454,FALSE,Cancelled,WeareA2B,Standard,medium,medium,1762.96,950.52,2017-11-25,1997-02-09
251,63,1967,TRUE,Approved,Solex,Standard,medium,medium,1483.2,99.59,2017-04-11,2015-05-21
